,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
15/02/2022 21:00,43975,4461.863,76.43769522,0.22082746,0.090274385,0.405978917,1775,0.865281119,0.148713387,0.500856857
15/02/2022 22:00,44164.8,8248.28,84.81442894,0.222213413,0.079556718,0.383951799,1754,0.7252543,0.104256478,0.419724064
15/02/2022 23:00,44529.6,15678.838,80.62606208,0.202473183,0.08429941,0.372097341,1681,0.502058079,0.157134966,0.408517842
16/02/2022 00:00,44195.1,11019.755,76.43769522,0.217363378,0.108298907,0.405418864,1497,0.359500548,0.134143218,0.430327922
16/02/2022 01:00,43987.2,9490.804,63.87259464,0.226169427,0.106751911,0.404942517,1343,0.80802381,0.015754913,0.358975813
16/02/2022 02:00,44066.1,5027.772,62.82550292,0.220762187,0.098696257,0.414603631,1341,0.921021608,0.24721897,0.439765028
16/02/2022 03:00,43970.9,5782.583,62.82550292,0.186686386,0.085981905,0.411905274,1208,0.567251913,0.100421627,0.435981391
16/02/2022 04:00,43886.9,13630.688,68.0609615,0.200236364,0.104344523,0.391706837,1197,0.888545192,0.07278616,0.457672616
16/02/2022 05:00,44044.9,8331.841,62.82550292,0.226182849,0.083008839,0.413960422,1141,0.258368831,0.00196875,0.495556548
16/02/2022 06:00,44026.3,5528.491,61.77841121,0.262464928,0.129988719,0.402671015,1207,0.616396484,0.159356596,0.453528502
16/02/2022 07:00,44165.5,6376.647,64.91968635,0.2259,0.104630274,0.388241528,1221,0.611385556,0.063275613,0.333483646
16/02/2022 08:00,44134.5,9437.884,67.01386978,0.224466746,0.111992459,0.361545472,1547,0.656071043,0.07035215,0.495222756
16/02/2022 09:00,44002.8,6739.615,63.87259464,0.226114745,0.119686347,0.412599336,1305,0.599071347,0.117838617,0.466075076
16/02/2022 10:00,44092.8,8410.958,64.91968635,0.210230278,0.123362514,0.379024062,1322,0.706293482,0.010139444,0.359683845
16/02/2022 11:00,44160.6,7954.256,65.96677807,0.16502155,0.10179682,0.400754209,1352,0.374233565,0.125947836,0.501402429
16/02/2022 12:00,44035.8,7662.783,68.0609615,0.233330075,0.090493076,0.389342601,1606,0.623699167,0.106266865,0.442130952
16/02/2022 13:00,43638.9,25144.044,64.91968635,0.224766515,0.102375805,0.406990137,1899,0.806453551,0.15757511,0.498949568
16/02/2022 14:00,43492.2,25141.22,71.20223664,0.191838228,0.077817886,0.365782622,2267,0.453677364,0.058666056,0.428863373
16/02/2022 15:00,43588.5,13370.861,71.20223664,0.228278093,0.093645227,0.398488399,2396,0.275684823,0.174025942,0.621524063
16/02/2022 16:00,43630,13468.283,69.10805321,0.22129388,0.101264282,0.423162666,2380,0.62083437,0.079780415,0.431688836
16/02/2022 17:00,43560.2,7800.879,73.29642007,0.191691508,0.092188538,0.428278202,2182,0.459306818,0.09736369,0.426831775
16/02/2022 18:00,43817.8,10438.932,70.15514493,0.21664715,0.090021382,0.403522703,2470,0.857716122,0.136230469,0.437209491
16/02/2022 19:00,44202.2,26939.182,73.29642007,0.2148695,0.092745114,0.413456941,2466,0.58972503,0.09713632,0.491265346
16/02/2022 20:00,44078.7,9047.662,76.43769522,0.212849127,0.089932773,0.411262462,2120,0.524979785,0.121809936,0.510580585
16/02/2022 21:00,44050.4,6499.784,79.57897037,0.213832293,0.097599431,0.411065732,1877,0.818084422,0.178904427,0.517219168
16/02/2022 22:00,44000,5229.158,76.43769522,0.189706416,0.078124986,0.394805644,2082,0.53133506,0.080621212,0.316229437
16/02/2022 23:00,43860.7,7316.205,78.53187865,0.188383053,0.100858386,0.431608117,1781,0.187107117,0.050446063,0.461073622
17/02/2022 00:00,44050.2,7000.583,68.0609615,0.205467085,0.085330124,0.402147611,1674,0.390825612,0.137347136,0.531642886
17/02/2022 01:00,44001.9,6166.39,56.54295263,0.155190017,0.071215021,0.407454307,1638,0.717506416,0.071779361,0.368032743
17/02/2022 02:00,43994.2,7272.588,65.96677807,0.187239652,0.070150367,0.423485706,1529,0.870236267,0.059327739,0.458231477
17/02/2022 03:00,43574.3,11073.759,60.73131949,0.141742157,0.094217968,0.400274377,1396,0.625119003,0.075999394,0.491236383
17/02/2022 04:00,43600,17371.137,60.73131949,0.184445412,0.087476776,0.384033043,1245,0.641608531,0.011742725,0.46849537
17/02/2022 05:00,43613.8,5445.638,58.63713606,0.116692326,0.077444819,0.409254996,1310,0.261486207,0.086140422,0.395319264
17/02/2022 06:00,43819.9,8190.098,63.87259464,0.161229902,0.102697473,0.405803271,1301,0.942348387,0.177578077,0.468514224
17/02/2022 07:00,43902.4,5803.606,56.54295263,0.171036703,0.086798692,0.40751023,1320,0.636922581,0.064935065,0.413816739
